epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.69628,1.59611,2.34015,1.22434,0.74956,0.77301,0.81229,0.48697,1.31264,1.3922,1.07336,0.000647059,0.000647059,0.000647059
2,13.4515,1.3034,0.97553,1.04903,0.83796,0.84444,0.90951,0.55393,1.34969,0.83826,1.07451,0.0012487,0.0012487,0.0012487
3,18.2075,1.21914,0.82093,1.04579,0.84784,0.84952,0.92245,0.63059,1.16237,0.76738,1.01844,0.00178433,0.00178433,0.00178433
4,24.1758,1.18043,0.75617,1.01777,0.87817,0.89114,0.93695,0.65597,1.10974,0.68788,1.01473,0.001703,0.001703,0.001703
5,28.8432,1.13284,0.71344,1.00062,0.86444,0.88367,0.94205,0.67461,1.07669,0.66902,1.00241,0.001604,0.001604,0.001604
6,33.5172,1.12334,0.67221,0.99644,0.90782,0.87239,0.95312,0.68781,1.02255,0.64457,0.98483,0.001505,0.001505,0.001505
7,38.0658,1.10264,0.67248,0.99269,0.86905,0.88537,0.94283,0.68315,1.02444,0.63079,0.98054,0.001406,0.001406,0.001406
8,42.6232,1.09823,0.66622,0.99438,0.89302,0.89434,0.95105,0.68522,1.05909,0.61542,0.98802,0.001307,0.001307,0.001307
9,47.1212,1.05934,0.63939,0.97252,0.8769,0.89221,0.95073,0.67779,1.04772,0.64417,0.97992,0.001208,0.001208,0.001208
10,51.6917,1.06948,0.63048,0.98056,0.90304,0.89114,0.95904,0.69743,1.03401,0.59024,0.97842,0.001109,0.001109,0.001109
11,57.2243,1.02897,0.60134,0.97314,0.88912,0.8986,0.95272,0.691,1.0412,0.59317,0.98124,0.00101,0.00101,0.00101
12,61.5941,1.02054,0.57236,0.97066,0.89335,0.91188,0.96275,0.68818,1.06108,0.59735,0.99591,0.000911,0.000911,0.000911
13,65.9327,1.02388,0.5687,0.96994,0.89235,0.91249,0.95693,0.66409,1.0975,0.60782,0.99914,0.000812,0.000812,0.000812
14,70.2709,1.00603,0.56449,0.9624,0.928,0.90075,0.97023,0.71141,1.01338,0.55475,0.97635,0.000713,0.000713,0.000713
15,74.6188,1.00072,0.55173,0.96619,0.89338,0.93006,0.96791,0.71452,0.99523,0.54655,0.9693,0.000614,0.000614,0.000614
16,78.9635,0.97419,0.52599,0.95351,0.91468,0.91676,0.97049,0.72102,0.99489,0.52939,0.96816,0.000515,0.000515,0.000515
17,83.3348,0.97673,0.53512,0.95177,0.90522,0.92758,0.97014,0.71291,1.00059,0.53191,0.96611,0.000416,0.000416,0.000416
18,87.694,0.96095,0.51169,0.94706,0.91188,0.91782,0.97191,0.71792,1.00316,0.54074,0.96697,0.000317,0.000317,0.000317
19,92.0246,0.95791,0.51409,0.95719,0.91365,0.91142,0.96959,0.71794,0.99291,0.52344,0.96411,0.000218,0.000218,0.000218
20,96.5114,0.96226,0.51055,0.94964,0.91012,0.92941,0.96995,0.72306,0.98953,0.51564,0.96259,0.000119,0.000119,0.000119
